# 英文版守衛庫 — 對照中文 regression_corpus.txt 的類別覆蓋，
# 但測的是**英文特有邊界**（英文錯字/模糊描述/英文閒聊），非翻譯中文守衛。
# 格式：類別|題目[|回答必含關鍵字]（ACCEPT 規則見 regression_ws.py）
# 由 gen_guard_en.py 產生；新抓到的 bug 句請直接追加在檔尾。

# ═══ inv (n=527) ═══
inv|check energy drink stock|Electrolyte
inv|hows the energy drink stock looking|Electrolyte
inv|sports drink inventory|Electrolyte
inv|how many sports drink left|Electrolyte
inv|how many sports drink do we have|Electrolyte
inv|check isotonic drink in the south warehouse|Electrolyte
inv|Electrolyee Sporrts Dink inventory|Electrolyte
inv|do we have Whey Protein Drink|Protein
inv|how many Whey Protein Drink left|Protein
inv|hows the Whey Protein Drink stock looking|Protein
inv|protein shake stock|Protein
inv|protein shake availability|Protein
inv|how many protein shake do we have|Protein
inv|how many whey protein at south|Protein
inv|Whey Prtein Drrink on hand|Protein
inv|cocoa inventory|Powder
inv|how many cocoa left|Powder
inv|do we have cocoa|Powder
inv|hot cocoa availability|Powder
inv|check hot cocoa stock|Powder
inv|hot cocoa on hand|Powder
inv|south cocoa stock|Powder
inv|whats the hot cooa count|Powder
inv|how many Drip Coffee Bags 20pcs do we have|Coffee
inv|Drip Coffee Bags 20pcs inventory|Coffee
inv|how many Drip Coffee Bags 20pcs left|Coffee
inv|drip coffee inventory|Coffee
inv|drip coffee availability|Coffee
inv|drip coffee on hand|Coffee
inv|check drip coffee bags in the north warehouse|Coffee
inv|drip coffoe bags inventory|Coffee
inv|laundry detergent inventory|Antibacterial
inv|laundry detergent availability|Antibacterial
inv|check laundry detergent stock|Antibacterial
inv|check detergent stock|Antibacterial
inv|how many detergent do we have|Antibacterial
inv|how many detergent left|Antibacterial
inv|check Antibacterial Laundry Detergent 4kg in the central warehouse|Antibacterial
inv|washig liqid inventory|Antibacterial
inv|hows the tissue stock looking|Facial
inv|tissue availability|Facial
inv|tissue stock|Facial
inv|3-ply Facial Tissue on hand|Facial
inv|whats the 3-ply Facial Tissue count|Facial
inv|3-ply Facial Tissue availability|Facial
inv|how many toilet paper at north|Facial
inv|whats the 3uply Facial Tiosue count|Facial
inv|body soap inventory|Natural
inv|hows the body soap stock looking|Natural
inv|body soap on hand|Natural
inv|hows the Natural Body Wash 1L stock looking|Natural
inv|show me Natural Body Wash 1L stock|Natural
inv|how many Natural Body Wash 1L left|Natural
inv|south body soap stock|Natural
inv|mosquito repellent refill on hand|Repellent
inv|show me mosquito repellent refill stock|Repellent
inv|check mosquito repellent refill stock|Repellent
inv|any mosquito refill in stock|Repellent
inv|how many mosquito refill left|Repellent
inv|hows the mosquito refill stock looking|Repellent
inv|check bug spray refill in the north warehouse|Repellent
inv|mesquito refil stock|Repellent
inv|how many Heavy-duty Trash Bags 50pcs left|Heavy
inv|any Heavy-duty Trash Bags 50pcs in stock|Heavy
inv|hows the Heavy-duty Trash Bags 50pcs stock looking|Heavy
inv|how many rubbish bags left|Heavy
inv|do we have rubbish bags|Heavy
inv|any rubbish bags in stock|Heavy
inv|how many trash bag at north|Heavy
inv|traash bags on hand|Heavy
inv|check baby diapers stock|Diapers
inv|baby diapers stock|Diapers
inv|whats the baby diapers count|Diapers
inv|any diaper in stock|Diapers
inv|hows the diaper stock looking|Diapers
inv|whats the diaper count|Diapers
inv|check diaper in the central warehouse|Diapers
inv|nappues stock|Diapers
inv|do we have wipes|Wipes
inv|any wipes in stock|Wipes
inv|wipes on hand|Wipes
inv|show me baby wipes stock|Wipes
inv|baby wipes inventory|Wipes
inv|do we have baby wipes|Wipes
inv|north baby wet wipes stock|Wipes
inv|baby wet wips inventory|Wipes
inv|any bug spray in stock|Repellent
inv|how many bug spray do we have|Repellent
inv|do we have bug spray|Repellent
inv|mosquito spray inventory|Repellent
inv|mosquito spray on hand|Repellent
inv|mosquito spray availability|Repellent
inv|north insect repellent stock|Repellent
inv|show me Mosquuito Rpellent Soray stock|Repellent
inv|show me Rubber Cleaning Gloves stock|Cleaning
inv|Rubber Cleaning Gloves inventory|Cleaning
inv|hows the Rubber Cleaning Gloves stock looking|Cleaning
inv|do we have gloves|Cleaning
inv|gloves inventory|Cleaning
inv|gloves availability|Cleaning
inv|check rubber gloves in the central warehouse|Cleaning
inv|check ruber glovves stock|Cleaning
inv|whats the coffee filter paper count|Coffee
inv|coffee filter paper inventory|Coffee
inv|how many coffee filter paper do we have|Coffee
inv|coffee filters availability|Coffee
inv|how many coffee filters do we have|Coffee
inv|check coffee filters stock|Coffee
inv|coffee filter paper in north|Coffee
inv|do we have coffue filtes|Coffee
inv|how many t-shirt do we have|Cotton
inv|t-shirt on hand|Cotton
inv|show me t-shirt stock|Cotton
inv|show me plain tee stock|Cotton
inv|check plain tee stock|Cotton
inv|how many plain tee left|Cotton
inv|Cotton Plain T-shirt Men's in north|Cotton
inv|plaiin tushirt stock|Cotton
inv|warm socks inventory|Socks
inv|hows the warm socks stock looking|Socks
inv|show me warm socks stock|Socks
inv|show me socks stock|Socks
inv|socks inventory|Socks
inv|socks availability|Socks
inv|check warm socks in the north warehouse|Socks
inv|do we have scks|Socks
inv|show me down jacket stock|Lightweight
inv|any down jacket in stock|Lightweight
inv|down jacket stock|Lightweight
inv|any puffer jacket in stock|Lightweight
inv|how many puffer jacket left|Lightweight
inv|puffer jacket inventory|Lightweight
inv|central coat stock|Lightweight
inv|check down jackket stock|Lightweight
inv|show me trousers stock|Denim
inv|do we have trousers|Denim
inv|hows the trousers stock looking|Denim
inv|denim jeans inventory|Denim
inv|show me denim jeans stock|Denim
inv|denim jeans stock|Denim
inv|north Denim Jeans Men's stock|Denim
inv|how many jeas left|Denim
inv|athletic bra on hand|Elastic
inv|athletic bra stock|Elastic
inv|any athletic bra in stock|Elastic
inv|sports bra on hand|Elastic
inv|do we have sports bra|Elastic
inv|hows the sports bra stock looking|Elastic
inv|check sports bra in the south warehouse|Elastic
inv|any Elstic Sorts Bra in stock|Elastic
inv|Moisture-wicking Shirt inventory|Moisture
inv|check Moisture-wicking Shirt stock|Moisture
inv|Moisture-wicking Shirt stock|Moisture
inv|workout shirt inventory|Moisture
inv|show me workout shirt stock|Moisture
inv|hows the workout shirt stock looking|Moisture
inv|how many athletic shirt at south|Moisture
inv|show me quck dry sirt stock|Moisture
inv|show me arm sleeve stock|Compression
inv|check arm sleeve stock|Compression
inv|whats the arm sleeve count|Compression
inv|whats the compression sleeve count|Compression
inv|do we have compression sleeve|Compression
inv|how many compression sleeve left|Compression
inv|north Sports Compression Arm Sleeve stock|Compression
inv|check soorts sleeeve stock|Compression
inv|baby onesie availability|Onesie
inv|show me baby onesie stock|Onesie
inv|do we have baby onesie|Onesie
inv|how many baby romper do we have|Onesie
inv|do we have baby romper|Onesie
inv|hows the baby romper stock looking|Onesie
inv|check baby bodysuit in the central warehouse|Onesie
inv|do we have rimper|Onesie
inv|check winter hat stock|Beanie
inv|any winter hat in stock|Beanie
inv|winter hat stock|Beanie
inv|warm hat inventory|Beanie
inv|how many warm hat do we have|Beanie
inv|any warm hat in stock|Beanie
inv|check wool hat in the north warehouse|Beanie
inv|do we have sun cap|Sun Hat
inv|whats the sun cap count|Sun Hat
inv|show me sun cap stock|Sun Hat
inv|hows the hat stock looking|Sun Hat
inv|how many hat left|Sun Hat
inv|check hat stock|Sun Hat
inv|how many beach hat at central|Sun Hat
inv|how many exercise mat do we have|Yoga
inv|exercise mat stock|Yoga
inv|check exercise mat stock|Yoga
inv|Yoga Mat 6mm availability|Yoga
inv|any Yoga Mat 6mm in stock|Yoga
inv|check Yoga Mat 6mm stock|Yoga
inv|how many gym mat at north|Yoga
inv|how many worout mat do we have|Yoga
inv|show me sports bottle stock|Hiking
inv|whats the sports bottle count|Hiking
inv|how many sports bottle left|Hiking
inv|how many hiking bottle left|Hiking
inv|hiking bottle inventory|Hiking
inv|show me hiking bottle stock|Hiking
inv|north drink bottle stock|Hiking
inv|do we have sprts bottlle|Hiking
inv|how many pilates ring left|Resistance
inv|any pilates ring in stock|Resistance
inv|show me pilates ring stock|Resistance
inv|how many resistance ring do we have|Resistance
inv|resistance ring inventory|Resistance
inv|resistance ring on hand|Resistance
inv|check exercise ring in the south warehouse|Resistance
inv|hows the Ressistance Fitnss Ring stock looking|Resistance
inv|how many hand weights left|Dumbbells
inv|hand weights availability|Dumbbells
inv|hand weights inventory|Dumbbells
inv|weights on hand|Dumbbells
inv|weights stock|Dumbbells
inv|how many weights left|Dumbbells
inv|check weights in the south warehouse|Dumbbells
inv|show me weigts stock|Dumbbells
inv|towel inventory|Sports
inv|hows the towel stock looking|Sports
inv|how many towel do we have|Sports
inv|sports towel inventory|Sports
inv|check sports towel stock|Sports
inv|any sports towel in stock|Sports
inv|central towel stock|Sports
inv|wokout twel stock|Sports
inv|do we have camping tent|Camping
inv|camping tent inventory|Camping
inv|camping tent stock|Camping
inv|how many 4 person tent do we have|Camping
inv|check 4 person tent stock|Camping
inv|4 person tent on hand|Camping
inv|how many Camping Tent 4-person at north|Camping
inv|4 persin tent inventory|Camping
inv|hows the Folding Camping Chair stock looking|Folding
inv|Folding Camping Chair stock|Folding
inv|how many Folding Camping Chair do we have|Folding
inv|any outdoor chair in stock|Folding
inv|do we have outdoor chair|Folding
inv|outdoor chair stock|Folding
inv|chair in central|Folding
inv|camp chir on hand|Folding
inv|show me Running Shoes Men's stock|Running
inv|any Running Shoes Men's in stock|Running
inv|Running Shoes Men's stock|Running
inv|sports shoes availability|Running
inv|show me sports shoes stock|Running
inv|sports shoes stock|Running
inv|check running shoes in the north warehouse|Running
inv|joggig shos on hand|Running
inv|hows the outdoor mug stock looking|Camping
inv|any outdoor mug in stock|Camping
inv|how many outdoor mug do we have|Camping
inv|check mug stock|Camping
inv|do we have mug|Camping
inv|mug availability|Camping
inv|south camp mug stock|Camping
inv|enameel mug inventory|Camping
inv|camping light inventory|Camping
inv|how many camping light do we have|Camping
inv|whats the camping light count|Camping
inv|how many LED Camping Lantern do we have|Camping
inv|show me LED Camping Lantern stock|Camping
inv|how many LED Camping Lantern left|Camping
inv|how many camping light at central|Camping
inv|do we have LED Campinng Latern|Camping
inv|electronics stock
inv|show me all electronics
inv|electronic products stock
inv|show me all electronic products
inv|gadgets stock
inv|show me all gadgets
inv|electronic products in south
inv|kitchen appliances stock
inv|show me all kitchen appliances
inv|appliances stock
inv|show me all appliances
inv|kitchenware stock
inv|show me all kitchenware
inv|kitchenware in central
inv|food and beverage stock
inv|show me all food and beverage
inv|food & drinks stock
inv|show me all food & drinks
inv|food and drinks stock
inv|show me all food and drinks
inv|beverages stock
inv|show me all beverages
inv|food and beverage in central
inv|daily goods stock
inv|show me all daily goods
inv|household items stock
inv|show me all household items
inv|daily necessities stock
inv|show me all daily necessities
inv|household goods stock
inv|show me all household goods
inv|daily necessities in south
inv|apparel stock
inv|show me all apparel
inv|clothing stock
inv|show me all clothing
inv|clothes stock
inv|show me all clothes
inv|clothing in north
inv|sports stock
inv|show me all sports
inv|sports gear stock
inv|show me all sports gear
inv|fitness gear stock
inv|show me all fitness gear
inv|outdoor gear stock
inv|show me all outdoor gear
inv|sports gear in north
inv|the thing that charges my phone
inv|those wireless ear things
inv|the mat for yoga|Yoga Mat
inv|something to clean teeth
inv|the thing you sleep in when camping
inv|what do i drink after running
inv|that stuff for washing clothes
inv|the machine that makes coffee|Coffee Machine

# ═══ mv (n=72) ═══
mv|put 10 bluetooth headset into north
mv|add 100 earphones to central
mv|put 50 powerbank into central
mv|north got 50 powerbank today
mv|north received 30 usb c cable
mv|north got 10 fast charging cable today
mv|add 30 wireless speaker to north
mv|put 20 wireless speaker into south
mv|5 activity band came in at north
mv|north sent out 10 smartwatch
mv|add 100 phone cover to south
mv|put 50 case into central
mv|take 5 mouse out of north
mv|south received 10 mouse
mv|record 100 keyboard inbound at north
mv|north got 50 mechanical keyboard today
mv|north shipped 50 laptop case
mv|10 laptop sleeve came in at south
mv|take 30 usb fan out of central
mv|south sent out 10 Desktop USB Fan
mv|central received 5 thermal jar
mv|add 50 soup jar to north
mv|record 20 electric iron inbound at north
mv|50 iron came in at central
mv|50 Ceramic Non-stick Pan 28cm came in at south
mv|south shipped 20 ceramic pan
mv|10 Electric Toothbrush came in at south
mv|record 50 toothbrush inbound at central
mv|take 5 mini blender out of north
mv|north sent out 50 blender
mv|take 20 espresso machine out of south
mv|south got 10 coffee machine today
mv|50 coffee kettle set came in at central
mv|add 10 pour over coffee set to north
mv|5 cookware set came in at central
mv|north sent out 20 cookware set
mv|record 5 glass box inbound at north
mv|south shipped 30 lunch box
mv|north sent out 100 electric mop
mv|put 100 mop into south
mv|20 Sparkling Water 500ml came in at north
mv|add 30 Sparkling Water 500ml to north
mv|north sent out 5 black coffee beans
mv|10 coffee beans came in at central
mv|south received 100 honey lemon tea
mv|north received 30 iced tea
mv|add 50 trail mix to north
mv|central sent out 100 trail mix
mv|south got 10 Whole Wheat Crackers 200g today
mv|put 5 biscuits into south
mv|add 100 beer to south
mv|north sent out 20 beer
mv|take 5 electrolyte drink out of central
mv|record 50 energy drink inbound at north
mv|central got 50 Whey Protein Drink today
mv|add 100 whey drink to south
mv|central shipped 10 Hot Cocoa Powder 300g
mv|put 30 Hot Cocoa Powder 300g into central
mv|central received 5 instant drip coffee
mv|north received 20 Drip Coffee Bags 20pcs
mv|customer returned 5 bluetooth earbuds at north
mv|customer returned 3 powerbank at south
mv|customer returned 2 USB-C Fast Charging Cable 2M at south
mv|customer returned 5 speaker at south
mv|customer returned 10 smartwatch at central
mv|customer returned 10 phone cover at north
mv|customer returned 5 Wireless Mouse at central
mv|customer returned 10 keyboard at central
mv|customer returned 2 laptop sleeve at south
mv|customer returned 10 mini fan at south
mv|customer returned 2 thermal jar at north
mv|customer returned 10 Steam Iron at south

# ═══ tf (n=14) ═══
tf|ship 10 earphones central to north
tf|move 30 portable charger from north to south
tf|transfer 20 usb c cable from central to north
tf|transfer 5 bluetooth speaker from north to central
tf|ship 30 fitness band north to central
tf|send 30 phone case from south warehouse to central
tf|transfer 20 wireless mouse from north to south
tf|transfer 5 mech keyboard from north to south
tf|ship 5 14-inch Laptop Bag south to central
tf|transfer 5 small fan from south to central
tf|move 30 soup jar from central to north
tf|move 20 clothes iron from south to central
tf|move 5 cooking pan from south to north
tf|transfer 10 power toothbrush from central to north

# ═══ low (n=36) ═══
low|whats running low
low|what needs restocking
low|low stock alert
low|which items are almost out
low|show me low stock
low|shortage list
low|what do we need to reorder
low|items below safety stock
low|whats about to run out
low|which items need reordering
low|what should i order now
low|anything running out soon
low|whats nearly out of stock
low|restock list please
low|which products are short
low|low inventory items
low|whats getting low
low|do we need to order anything
low|low stock electronics
low|which electronics need restocking
low|low stock appliances
low|which appliances need restocking
low|low stock food and drinks
low|which food and drinks need restocking
low|low stock daily goods
low|which household items need restocking
low|low stock apparel
low|which clothes need restocking
low|low stock outdoor gear
low|which outdoor gear need restocking
low|low stock in north
low|whats running out at north
low|low stock in central
low|whats running out at central
low|low stock in south
low|whats running out at south

# ═══ exp (n=12) ═══
exp|whats expiring soon
exp|which items expire soon
exp|expiry alerts
exp|anything about to expire
exp|what expires in 30 days
exp|show me expiring items
exp|shelf life warnings
exp|which food is expiring
exp|expiring stock list
exp|whats expiring at north
exp|whats expiring at central
exp|whats expiring at south

# ═══ hot (n=21) ═══
hot|best sellers this week
hot|best sellers this month
hot|top selling items
hot|what sold best this month
hot|sales ranking
hot|top 10 this week
hot|whats selling most
hot|hot items this week
hot|slow movers
hot|what isnt selling
hot|dead stock
hot|worst selling items this month
hot|least popular items
hot|whats not moving
hot|bottom sellers this week
hot|best selling electronics this month
hot|best selling kitchenware this month
hot|best selling beverages this month
hot|best selling daily goods this month
hot|best selling clothing this month
hot|best selling fitness gear this month

# ═══ rca (n=27) ═══
rca|trace the bluetooth earbuds shortfall|Bluetooth
rca|the Power Bank 10000mAh figures look wrong|Power
rca|charger cable stock doesnt add up|Charging
rca|what happened to the bluetooth speaker|Bluetooth
rca|investigate the fitness tracker discrepancy|Fitness
rca|protective case stock doesnt add up|Protective
rca|what happened to the mouse|Wireless
rca|trace the mech keyboard shortfall|Mechanical
rca|computer bag stock doesnt add up|Laptop
rca|trace the desk fan shortfall|Desktop
rca|investigate the food jar discrepancy|Stainless
rca|what happened to the electric iron|Steam
rca|ceramic pan stock doesnt add up|Ceramic
rca|what happened to the electric toothbrush|Toothbrush
rca|why is juicer short|Blender
rca|investigate the automatic coffee maker discrepancy|Automatic
rca|what happened to the drip coffee set|Coffee
rca|the cookware set numbers dont match|Cookware
rca|trace the Glass Food Containers 5pcs shortfall|Containers
rca|floor mop count is strange|Electric
rca|Sparkling Water 500ml stock doesnt add up|Sparkling
rca|what happened to the coffee beans|Classic
rca|is there any purchase mismatch
rca|any reconciliation issues
rca|check the purchase records
rca|which items have anomalies
rca|any stock discrepancies

# ═══ cfg (n=35) ═══
cfg|set wireless earbuds safety stock to 80
cfg|whats the wireless earbuds safety stock
cfg|set Power Bank 10000mAh safety stock to 100
cfg|whats the Power Bank 10000mAh safety stock
cfg|set fast charging cable safety stock to 30
cfg|whats the fast charging cable safety stock
cfg|set portable speaker safety stock to 50
cfg|whats the portable speaker safety stock
cfg|set smart band safety stock to 20
cfg|whats the smart band safety stock
cfg|set shockproof case safety stock to 100
cfg|whats the shockproof case safety stock
cfg|set mouse safety stock to 50
cfg|whats the mouse safety stock
cfg|set mech keyboard safety stock to 20
cfg|whats the mech keyboard safety stock
cfg|set 14-inch Laptop Bag safety stock to 50
cfg|whats the 14-inch Laptop Bag safety stock
cfg|set usb fan safety stock to 30
cfg|whats the usb fan safety stock
cfg|set vacuum jar safety stock to 20
cfg|whats the vacuum jar safety stock
cfg|set clothes iron safety stock to 50
cfg|whats the clothes iron safety stock
cfg|set cooking pan safety stock to 30
cfg|whats the cooking pan safety stock
cfg|set electric toothbrush safety stock to 50
cfg|whats the electric toothbrush safety stock
cfg|set juice blender safety stock to 100
cfg|whats the juice blender safety stock
cfg|set coffee maker safety stock to 100
cfg|whats the coffee maker safety stock
cfg|increase safety stock by 30 in north
cfg|increase safety stock by 30 in central
cfg|increase safety stock by 30 in south

# ═══ rel (n=20) ═══
rel|people who buy earphones also buy
rel|what goes with Power Bank 10000mAh
rel|recommend items for usb c cable
rel|recommend items for bluetooth speaker
rel|what goes with smart band
rel|people who buy protective case also buy
rel|what else do wireless mouse buyers get
rel|whats bought together with keyboard
rel|whats bought together with laptop sleeve
rel|what sells with desktop fan
rel|what sells with soup jar
rel|what goes with steam iron
rel|what else do non-stick pan buyers get
rel|what sells with power toothbrush
rel|what else do juicer buyers get
rel|people who buy coffee maker also buy
rel|pour over coffee set related items
rel|what goes with camping cookware
rel|people who buy storage containers also buy
rel|Electric Mop related items

# ═══ mvt (n=26) ═══
mvt|what came in today
mvt|this weeks shipments
mvt|todays movements
mvt|what shipped out this week
mvt|this months in and out
mvt|goods received today
mvt|what went out yesterday
mvt|show me this weeks movements
mvt|any inbound today
mvt|stock movements this month
mvt|what moved today
mvt|how much bluetooth earbuds moved this month
mvt|how much power bank moved this month
mvt|how much usb-c cable moved this month
mvt|how much bluetooth speaker moved this month
mvt|how much activity band moved this month
mvt|how much protective case moved this month
mvt|how much cordless mouse moved this month
mvt|how much mechanical keyboard moved this month
mvt|how much computer bag moved this month
mvt|how much mini fan moved this month
mvt|how much Stainless Steel Thermal Food Jar moved this month
mvt|how much iron moved this month
mvt|what came into north this week
mvt|what came into central this week
mvt|what came into south this week

# ═══ any (n=22) ═══
any|compare north and south by value
any|which has more stock north or south
any|north vs south turnover
any|compare north and south by item count
any|compare central and south by value
any|which has more stock central or south
any|central vs south turnover
any|compare central and south by item count
any|compare north and central by value
any|which has more stock north or central
any|north vs central turnover
any|compare north and central by item count
